2026-08-11 00:04:20,442 [daml.index.db.threadpool.connection.indexer-7] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T16:00:00Z)
2026-08-11 00:04:20,456 [daml.index.db.threadpool.connection.indexer-7] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T16:00:00Z)
2026-08-11 00:29:40,663 [canton-env-ec-99] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::12209834d168... authenticated new token with expiry 2026-08-10T17:29:40.663298Z
2026-08-11 00:29:40,880 [canton-env-ec-111] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-10T17:29:40.879877Z
2026-08-11 00:29:43,054 [canton-env-ec-111] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-10T17:29:43.054678Z
2026-08-11 00:30:00,641 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 00:30:00,642 [canton-env-ec-111] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 00:30:00,701 [canton-env-ec-110] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 00:30:00,869 [canton-env-ec-102] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 00:30:00,870 [canton-env-ec-111] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 00:30:00,935 [canton-env-ec-82] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 00:30:03,032 [canton-env-ec-31] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
2026-08-11 00:30:03,033 [canton-env-ec-110] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::12209834d168 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 00:30:03,098 [canton-env-ec-31] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206722ea2b... subscribes from counter=55
2026-08-11 01:04:20,443 [daml.index.db.threadpool.connection.indexer-0] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T17:00:00Z)
2026-08-11 01:04:20,445 [daml.index.db.threadpool.connection.indexer-0] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T17:00:00Z)
2026-08-11 01:29:20,694 [canton-env-ec-82] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::12209834d168... authenticated new token with expiry 2026-08-10T18:29:20.694664Z
2026-08-11 01:29:20,909 [canton-env-ec-83] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-10T18:29:20.909588Z
2026-08-11 01:29:23,073 [canton-env-ec-98] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-10T18:29:23.073266Z
2026-08-11 01:29:40,672 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 01:29:40,672 [canton-env-ec-90] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 01:29:40,734 [canton-env-ec-37] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 01:29:40,893 [canton-env-ec-26] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 01:29:40,894 [canton-env-ec-99] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 01:29:40,953 [canton-env-ec-102] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 01:29:43,059 [canton-env-ec-99] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
